id,car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,travels,price,accident,registration
1,Toyota Fielder 2011,Toyota,Fielder,2016,Automatic,Estate,CNG,1500,45852,1200000,N,2025
2,Toyota Noah 2005,Toyota,Noah,2010,Automatic,Hatchback,CNG,1998,219630,1200000,N,2024
3,Toyota LiteAce 2001,Toyota,LiteAce,2001,Manual,Van,CNG,1800,102000,165000,N,2023
4,Maruti Suzuki Vitara Brezza 1994,Maruti Suzuki,Vitara Brezza,1994,Manual,Hatchback,CNG,1600,113000,230000,Y,2023
5,Toyota Starlet good 1992,Toyota,Starlet,1992,Automatic,Saloon,CNG,1300,15000,330000,Y,2023
6,Toyota Carina 1991,Toyota,Carina,1998,Automatic,Saloon,CNG,1500,60720,200000,Y,2024
7,Toyota Corolla 2004,Toyota,Corolla,2009,Automatic,Saloon,CNG,1500,70000,950000,N,2023
8,Mitsubishi Pajero 1998,Mitsubishi,Pajero,2000,Manual,SUV,CNG,2350,750000,960000,N,2023
9,Toyota Axio HYBRID 2016,Toyota,Axio,2016,Automatic,Saloon,Hybrid,1500,96000,1830000,N,2025
10,Toyota Axio HYBRID 2016,Toyota,Axio,2016,Automatic,Saloon,CNG,1500,96000,1830000,N,2025
11,Toyota Hundred St. Wagon 1996,Toyota,Other Model,1996,Automatic,Estate,CNG,1331,120000,250000,N,2024
12,Toyota Hundred St. Wagon 1996,Toyota,Other Model,1996,Automatic,Estate,Octane,1331,120000,250000,N,2024
13,Toyota Fielder G-EDITION 2001,Toyota,Fielder,2001,Automatic,Estate,CNG,1500,75000,799000,Y,2023
14,Toyota Fielder G-EDITION 2001,Toyota,Fielder,2001,Automatic,Estate,Octane,1500,75000,799000,Y,2023
15,Toyota Fielder fresh G Edition 2001,Toyota,Fielder,2001,Automatic,Estate,CNG,1500,79250,785000,N,2023
16,Toyota Fielder fresh G Edition 2001,Toyota,Fielder,2001,Automatic,Estate,Octane,1500,79250,785000,N,2023
17,Toyota Succeed ULX 2002,Toyota,Succeed,2002,Automatic,Estate,CNG,1500,75000,599000,N,2024
18,Toyota Succeed ULX 2002,Toyota,Succeed,2002,Automatic,Estate,Octane,1500,75000,599000,N,2024
19,Toyota Probox GL 2003,Toyota,Probox,2003,Automatic,Estate,CNG,1300,84000,570000,N,2024
20,Toyota Probox GL 2003,Toyota,Probox,2003,Automatic,Estate,Octane,1300,84000,570000,N,2024
21,Toyota Probox super fresh 2003,Toyota,Probox,2003,Automatic,Estate,CNG,1500,68425,675000,N,2023
22,Toyota Probox super fresh 2003,Toyota,Probox,2003,Automatic,Estate,Octane,1500,68425,675000,N,2023
23,Toyota Probox Dx 2003,Toyota,Probox,2003,Automatic,Estate,CNG,1500,85000,625000,Y,2024
24,Toyota Probox Dx 2003,Toyota,Probox,2003,Automatic,Estate,Octane,1500,85000,625000,Y,2024
25,Toyota Succeed WHITE-ULX-PKG 2003,Toyota,Succeed,2003,Automatic,Estate,CNG,1500,74500,599000,N,2024
26,Toyota Succeed WHITE-ULX-PKG 2003,Toyota,Succeed,2003,Automatic,Estate,Octane,1500,74500,599000,N,2024
27,Toyota Fielder -X 2004,Toyota,Fielder,2004,Automatic,Estate,CNG,1500,75050,955000,N,2024
28,Toyota Fielder -X 2004,Toyota,Fielder,2004,Automatic,Estate,Octane,1500,75050,955000,N,2024
29,Toyota Fielder 40 UNNIVERSARY 2004,Toyota,Fielder,2004,Automatic,Estate,CNG,1500,98112,925000,Y,2023
30,Toyota Fielder 40 UNNIVERSARY 2004,Toyota,Fielder,2004,Automatic,Estate,Octane,1500,98112,925000,Y,2023
31,Toyota Fielder super fresh 2004,Toyota,Fielder,2004,Automatic,Estate,CNG,1500,68465,985000,N,2024
32,Toyota Fielder super fresh 2004,Toyota,Fielder,2004,Automatic,Estate,Octane,1500,68465,985000,N,2024
33,Toyota Fielder ??? ??? ??? 2004,Toyota,Fielder,2004,Automatic,Estate,CNG,1500,65000,1050000,N,2023
34,Toyota Fielder ??? ??? ??? 2004,Toyota,Fielder,2004,Automatic,Estate,Octane,1500,65000,1050000,N,2023
35,Toyota Fielder package X 2004,Toyota,Fielder,2004,Automatic,Estate,CNG,1500,65000,1050000,N,2023
36,Toyota Fielder package X 2004,Toyota,Fielder,2004,Automatic,Estate,Octane,1500,65000,1050000,N,2023
37,Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Estate,CNG,1300,65000,570000,N,2024
38,Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Estate,Octane,1300,65000,570000,N,2024
39,Toyota Probox gl 2004,Toyota,Probox,2004,Automatic,Estate,CNG,1500,90000,530000,N,2024
40,Toyota Probox gl 2004,Toyota,Probox,2004,Automatic,Estate,Octane,1500,90000,530000,N,2024
41,Toyota Spacio fun cargo HID G 2004,Toyota,Spacio,2004,Automatic,Estate,CNG,1500,62300,668000,Y,2024
42,Toyota Spacio fun cargo HID G 2004,Toyota,Spacio,2004,Automatic,Estate,Octane,1500,62300,668000,Y,2024
43,Toyota Succeed super fresh 2004,Toyota,Succeed,2004,Automatic,Estate,CNG,1500,54000,655000,N,2024
44,Toyota Succeed super fresh 2004,Toyota,Succeed,2004,Automatic,Estate,Octane,1500,54000,655000,N,2024
45,Toyota Wish G LTD 7 SEAT 2004,Toyota,Wish,2004,Automatic,Estate,CNG,1800,88611,1085000,N,2025
46,Toyota Wish G LTD 7 SEAT 2004,Toyota,Wish,2004,Automatic,Estate,Octane,1800,88611,1085000,N,2025
47,Toyota Fielder X 2005,Toyota,Fielder,2005,Automatic,Estate,CNG,1500,59700,1030000,Y,2025
48,Toyota Fielder X 2005,Toyota,Fielder,2005,Automatic,Estate,Octane,1500,59700,1030000,Y,2025
49,Toyota Fielder x 33 serial 2005,Toyota,Fielder,2005,Automatic,Estate,CNG,1500,62000,990000,Y,2025
50,Toyota Fielder x 33 serial 2005,Toyota,Fielder,2005,Automatic,Estate,Octane,1500,62000,990000,Y,2025
51,Toyota Fielder G Edition 2005,Toyota,Fielder,2005,Automatic,Estate,CNG,1500,185000,910000,Y,2025
52,Toyota Fielder G Edition 2005,Toyota,Fielder,2005,Automatic,Estate,Octane,1500,185000,910000,Y,2025
53,Toyota Succeed UL 2005,Toyota,Succeed,2005,Automatic,Estate,CNG,1500,72000,780000,N,2025
54,Toyota Succeed UL 2005,Toyota,Succeed,2005,Automatic,Estate,Octane,1500,72000,780000,N,2025
55,Toyota Fielder X 2006,Toyota,Fielder,2006,Automatic,Estate,CNG,1500,55000,1050000,N,2025
56,Toyota Fielder X 2006,Toyota,Fielder,2006,Automatic,Estate,Octane,1500,55000,1050000,N,2025
57,Toyota Fielder X Limited 2006,Toyota,Fielder,2006,Automatic,Estate,CNG,1500,73000,1025000,N,2024
58,Toyota Fielder X Limited 2006,Toyota,Fielder,2006,Automatic,Estate,Octane,1500,73000,1025000,N,2024
59,Toyota Fielder X Limited 2006,Toyota,Fielder,2006,Automatic,Estate,CNG,1500,75400,1020000,N,2024
60,Toyota Fielder X Limited 2006,Toyota,Fielder,2006,Automatic,Estate,Octane,1500,75400,1020000,N,2024
61,Toyota Probox 2003,Toyota,Probox,2007,Automatic,Estate,CNG,1500,18000,560000,N,2025
62,Toyota Probox 2003,Toyota,Probox,2007,Automatic,Estate,Octane,1500,18000,560000,N,2025
63,Toyota Fielder x 2009,Toyota,Fielder,2009,Automatic,Estate,CNG,1500,70000,1150000,N,2024
64,Toyota Fielder x 2009,Toyota,Fielder,2009,Automatic,Estate,Octane,1500,70000,1150000,N,2024
65,Toyota Probox 2005,Toyota,Probox,2009,Automatic,Estate,CNG,1500,178000,670000,N,2025
66,Toyota Probox 2005,Toyota,Probox,2009,Automatic,Estate,Octane,1500,178000,670000,N,2025
67,Toyota Fielder G PACKAGE 2010,Toyota,Fielder,2010,Automatic,Estate,CNG,1500,55000,1240000,N,2024
68,Toyota Fielder G PACKAGE 2010,Toyota,Fielder,2010,Automatic,Estate,Octane,1500,55000,1240000,N,2024
69,Toyota Probox Dx 2010,Toyota,Probox,2010,Automatic,Estate,CNG,1500,71000,850000,N,2025
70,Toyota Probox Dx 2010,Toyota,Probox,2010,Automatic,Estate,Octane,1500,71000,850000,N,2025
71,Toyota Probox GL 2010,Toyota,Probox,2010,Automatic,Estate,CNG,1500,72000,850000,N,2024
72,Toyota Probox GL 2010,Toyota,Probox,2010,Automatic,Estate,Octane,1500,72000,850000,N,2024
73,Toyota Axio fielder G packeg 2011,Toyota,Axio,2011,Automatic,Estate,CNG,1500,56000,1160000,N,2025
74,Toyota Axio fielder G packeg 2011,Toyota,Axio,2011,Automatic,Estate,Octane,1500,56000,1160000,N,2025
75,Toyota Probox GL 2011,Toyota,Probox,2011,Automatic,Estate,CNG,1500,75320,890000,N,2024
76,Toyota Probox GL 2011,Toyota,Probox,2011,Automatic,Estate,Octane,1500,75320,890000,N,2024
77,Toyota Fielder First party 2012,Toyota,Fielder,2012,Automatic,Estate,CNG,1500,82000,1270000,N,2025
78,Toyota Fielder First party 2012,Toyota,Fielder,2012,Automatic,Estate,Octane,1500,82000,1270000,N,2025
79,Toyota Probox GL 2012,Toyota,Probox,2012,Automatic,Estate,CNG,1500,42000,890000,N,2025
80,Toyota Probox GL 2012,Toyota,Probox,2012,Automatic,Estate,Octane,1500,42000,890000,N,2025
81,Toyota Axio Fielder G 2013,Toyota,Axio,2013,Automatic,Estate,CNG,1500,47900,1485000,N,2024
82,Toyota Axio Fielder G 2013,Toyota,Axio,2013,Automatic,Estate,Octane,1500,47900,1485000,N,2024
83,Toyota Raum 2009,Toyota,Raum,2015,Automatic,Estate,CNG,1500,75000,1040000,N,2023
84,Toyota Raum 2009,Toyota,Raum,2015,Automatic,Estate,Octane,1500,75000,1040000,N,2023
85,Toyota Starlet white 1995,Toyota,Starlet,1995,Automatic,Hatchback,CNG,1500,96000,280000,N,2023
86,Toyota Starlet white 1995,Toyota,Starlet,1995,Automatic,Hatchback,Octane,1500,96000,280000,N,2023
87,Toyota Starlet Soleil ep82 1995,Toyota,Starlet Soleil,1995,Automatic,Hatchback,CNG,1331,125855,345000,N,2023
88,Toyota Starlet Soleil ep82 1995,Toyota,Starlet Soleil,1995,Automatic,Hatchback,Octane,1331,125855,345000,N,2023
89,Toyota duet 1999,Toyota,Other Model,1999,Automatic,Hatchback,CNG,1000,89000,299000,N,2024
90,Toyota duet 1999,Toyota,Other Model,1999,Automatic,Hatchback,Octane,1000,89000,299000,N,2024
91,Toyota Corolla wagon 2001,Toyota,Corolla,2001,Automatic,Hatchback,CNG,1500,89000,390000,Y,2024
92,Toyota Corolla wagon 2001,Toyota,Corolla,2001,Automatic,Hatchback,Octane,1500,89000,390000,Y,2024
93,Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2001,Automatic,Hatchback,CNG,1500,65236,925000,N,2023
94,Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2001,Automatic,Hatchback,Octane,1500,65236,925000,N,2023
95,Honda CR-V Hard Jeep Sunroof 2002,Honda,CR-V,2002,Automatic,Hatchback,CNG,2000,82000,925000,N,2023
96,Honda CR-V Hard Jeep Sunroof 2002,Honda,CR-V,2002,Automatic,Hatchback,Octane,2000,82000,925000,N,2023
97,Suzuki Alto ZEN 2003,Suzuki,Alto,2003,Manual,Hatchback,CNG,1000,200,225000,N,2024
98,Suzuki Alto ZEN 2003,Suzuki,Alto,2003,Manual,Hatchback,Octane,1000,200,225000,N,2024
99,Toyota ist G Edition 2003,Toyota,ist,2003,Automatic,Hatchback,CNG,1500,63256,885000,N,2023
100,Toyota ist G Edition 2003,Toyota,ist,2003,Automatic,Hatchback,Octane,1500,63256,885000,N,2023
101,Toyota Fielder very nice condition 2004,Toyota,Fielder,2004,Automatic,Hatchback,CNG,150,63000,990000,N,2024
102,Toyota Fielder very nice condition 2004,Toyota,Fielder,2004,Automatic,Hatchback,Octane,150,63000,990000,N,2024
103,Toyota Probox very nice condition 2004,Toyota,Probox,2004,Automatic,Hatchback,CNG,1500,75000,595000,Y,2024
104,Toyota Probox very nice condition 2004,Toyota,Probox,2004,Automatic,Hatchback,Octane,1500,75000,595000,Y,2024
105,Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Hatchback,CNG,1500,55000,625000,N,2024
106,Toyota Probox DX 2004,Toyota,Probox,2004,Automatic,Hatchback,Octane,1500,55000,625000,N,2024
107,Toyota Raum G PKG 2004,Toyota,Raum,2004,Automatic,Hatchback,CNG,1500,57580,890000,Y,2024
108,Toyota Raum G PKG 2004,Toyota,Raum,2004,Automatic,Hatchback,Octane,1500,57580,890000,Y,2024
109,Toyota ist 2004,Toyota,ist,2005,Automatic,Hatchback,CNG,1300,73000,700000,N,2024
110,Toyota ist 2004,Toyota,ist,2005,Automatic,Hatchback,Octane,1300,73000,700000,N,2024
111,Toyota Succeed All Auto 1500cc 2005,Toyota,Succeed,2005,Automatic,Hatchback,CNG,1500,64512,680000,N,2024
112,Toyota Succeed All Auto 1500cc 2005,Toyota,Succeed,2005,Automatic,Hatchback,Octane,1500,64512,680000,N,2024
113,Toyota Rush Hard Jeep 2006,Toyota,Rush,2006,Automatic,Hatchback,CNG,1500,79000,1025000,N,2024
114,Toyota Rush Hard Jeep 2006,Toyota,Rush,2006,Automatic,Hatchback,Octane,1500,79000,1025000,N,2024
115,Toyota Axio X Fielder 2009,Toyota,Axio,2009,Automatic,Hatchback,CNG,1500,73000,1230000,Y,2024
116,Toyota Axio X Fielder 2009,Toyota,Axio,2009,Automatic,Hatchback,Octane,1500,73000,1230000,Y,2024
117,Toyota Probox 2005,Toyota,Probox,2010,Automatic,Hatchback,CNG,1300,87000,620000,N,2025
118,Toyota Probox 2005,Toyota,Probox,2010,Automatic,Hatchback,Octane,1300,87000,620000,N,2025
119,Toyota Fielder X Bank Loan Car 2011,Toyota,Fielder,2011,Automatic,Hatchback,CNG,1500,65000,970000,Y,2025
120,Toyota Fielder X Bank Loan Car 2011,Toyota,Fielder,2011,Automatic,Hatchback,Octane,1500,65000,970000,Y,2025
121,Toyota LiteAce School bus 9 seats 1989,Toyota,LiteAce,1989,Manual,MPV,CNG,1300,274000,125000,Y,2025
122,Toyota LiteAce School bus 9 seats 1989,Toyota,LiteAce,1989,Manual,MPV,Octane,1300,274000,125000,Y,2025
123,Toyota TownAce Navan 1995,Toyota,TownAce,1995,Manual,MPV,CNG,1500,90000,320000,Y,2025
124,Toyota TownAce Navan 1995,Toyota,TownAce,1995,Manual,MPV,Octane,1500,90000,320000,Y,2025
125,Toyota Noah lucida dual ac g 1997,Toyota,Noah,1997,Automatic,MPV,CNG,2000,79800,525000,N,2025
126,Toyota Noah lucida dual ac g 1997,Toyota,Noah,1997,Automatic,MPV,Octane,2000,79800,525000,N,2025
127,Toyota Hiace Super GL 1998,Toyota,Hiace,1998,Manual,MPV,CNG,2000,78643,520000,N,2025
128,Toyota Hiace Super GL 1998,Toyota,Hiace,1998,Manual,MPV,Octane,2000,78643,520000,N,2025
129,Toyota Noah Regius 1998,Toyota,Noah,1998,Automatic,MPV,CNG,2500,100000,850000,N,2025
130,Toyota Noah Regius 1998,Toyota,Noah,1998,Automatic,MPV,Octane,2500,100000,850000,N,2025
131,Toyota Noah package SR40 1998,Toyota,Noah,1998,Automatic,MPV,CNG,2000,86000,980000,N,2025
132,Toyota Noah package SR40 1998,Toyota,Noah,1998,Automatic,MPV,Octane,2000,86000,980000,N,2025
133,Toyota Noah Super Extra Limo 2000,Toyota,Noah,2000,Automatic,MPV,CNG,2000,65800,800000,N,2025
134,Toyota Noah Super Extra Limo 2000,Toyota,Noah,2000,Automatic,MPV,Octane,2000,65800,800000,N,2025
135,Toyota Noah S 2002,Toyota,Noah,2002,Automatic,MPV,CNG,2000,90000,965000,N,2024
136,Toyota Noah S 2002,Toyota,Noah,2002,Automatic,MPV,Octane,2000,90000,965000,N,2024
