id,car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,travels,price,accident ,registration
1,MarutiSuzukiWagonRUttara2012,MarutiSuzuki,WagonR,2012,Automatic,Hatchback,Octane,1500,60000,2550000,N,2025
2,ToyotaHiace2005,Toyota,Hiace,2005,Automatic,MPV,CNG,2000,32000,2000200,Y,2024
3,ToyotaAxio2009,Toyota,Axio,2009,Automatic,Hatchback,CNG,1500,25500,2245550,N,2023
4,ToyotaCorsa1999,Toyota,Corsa,1999,Automatic,Hatchback,CNG,1500,90000,1120000,N,2023
5,ToyotaCorolla2002,Toyota,Corolla,2002,Automatic,Sedan,CNG,1500,202580,2320025,N,2023
6,ToyotaCorolla2002,Toyota,Corolla,2002,Automatic,Sedan,Octane,1500,202580,2320025,N,2023
7,ToyotaAxio2009,Toyota,Axio,2009,Automatic,Hatchback,CNG,1500,120002,2900200,N,2024
8,ToyotaAxio2009,Toyota,Axio,2009,Automatic,Hatchback,Octane,1500,120002,2900200,N,2024
9,ToyotaCorollax2003,Toyota,Corolla,2003,Automatic,Sedan,CNG,1500,20000,2350000,N,2025
10,ToyotaCorollax2003,Toyota,Corolla,2003,Automatic,Sedan,Octane,1500,20000,2350000,N,2025
11,ToyotaAxio2011,Toyota,Axio,2011,Automatic,Hatchback,CNG,1500,50000,2690000,N,2023
12,ToyotaAxio2011,Toyota,Axio,2011,Automatic,Hatchback,Octane,1500,50000,2690000,N,2023
13,ToyotaFielder2012,Toyota,Fielder,2012,Automatic,Saloon,CNG,1500,75000,2475500,N,2025
14,ToyotaFielder2012,Toyota,Fielder,2012,Automatic,Saloon,Octane,1500,75000,2475500,N,2025
15,ToyotaHarrier2019,Toyota,Harrier,2019,Automatic,SUV,CNG,2000,15000,2000500,Y,2024
16,ToyotaHarrier2019,Toyota,Harrier,2019,Automatic,SUV,Octane,2000,15000,2000500,Y,2024
17,ToyotaHarrierADVANCE2019,Toyota,Harrier,2019,Automatic,SUV,CNG,2000,49000,2000900,Y,2023
18,ToyotaHarrierADVANCE2019,Toyota,Harrier,2019,Automatic,SUV,Octane,2000,49000,2000900,Y,2023
19,ToyotaPrius12018,Toyota,Prius,2018,Automatic,Sedan,CNG,2000,45000,2475500,N,2023
20,ToyotaPrius12018,Toyota,Prius,2018,Automatic,Sedan,Octane,2000,45000,2475500,N,2023
21,ToyotaC-HR2016,Toyota,CHR,2016,Automatic,SUV,CNG,2000,28900,2130890,N,2024
22,ToyotaC-HR2016,Toyota,CHR,2016,Automatic,SUV,Octane,2000,28900,2130890,N,2024
23,ToyotaEsquirePREMIUM2020,Toyota,Esquire,2020,Automatic,MPV,CNG,1800,20000,2420000,N,2024
24,ToyotaEsquirePREMIUM2020,Toyota,Esquire,2020,Automatic,MPV,Octane,1800,20000,2420000,N,2024
25,ToyotaHarrierADVPREMIUM2019,Toyota,Harrier,2019,Automatic,SUV,CNG,1800,85000,20625500,N,2023
26,ToyotaHarrierADVPREMIUM2019,Toyota,Harrier,2019,Automatic,SUV,Octane,1800,85000,20625500,N,2023
27,ToyotaCorollax2004,Toyota,Corolla,2004,Automatic,Sedan,CNG,1500,255550,2500555,N,2026
28,ToyotaCorollax2004,Toyota,Corolla,2004,Automatic,Sedan,Octane,1500,255550,2500555,N,2026
29,ToyotaNoahsipushstart2012,Toyota,Noah,2012,Automatic,MPV,CNG,2000,220000,201300200,N,2024
30,ToyotaNoahsipushstart2012,Toyota,Noah,2012,Automatic,MPV,Octane,2000,220000,201300200,N,2024
31,ToyotaNoahsipushstart2010,Toyota,Noah,2010,Automatic,MPV,CNG,2000,240009,201500400,N,2024
32,ToyotaNoahsipushstart2010,Toyota,Noah,2010,Automatic,MPV,Octane,2000,240009,201500400,N,2024
33,ToyotaPremiokeystart2010,Toyota,Premio,2010,Automatic,Sedan,CNG,2000,245000,2860450,N,2023
34,ToyotaPremiokeystart2010,Toyota,Premio,2010,Automatic,Sedan,Octane,2000,245000,2860450,N,2023
35,ToyotaAxioGPushStart2015,Toyota,Axio,2015,Automatic,Hatchback,CNG,2000,200000,2015050000,N,2024
36,ToyotaAxioGPushStart2015,Toyota,Axio,2015,Automatic,Hatchback,Octane,2000,200000,2015050000,N,2024
37,NissanX-Trail2011,Toyota,Xtrail,2011,Automatic,SUV,Octane,2000,97000,2300700,Y,2023
38,ToyotaHarrierSNONHYBRID2020,Toyota,Harrier,2020,Automatic,SUV,Octane,2000,48700,2200870,N,2025
39,ToyotaFielderXOctneDrive2017,Toyota,Fielder,2017,Automatic,Saloon,Octane,1500,25600,80560,N,2024
40,HondaInsightExpearl4.5grd2019,Honda,Insight,2019,Automatic,Sedan,Hybrid,1500,24899,2230489,N,2024
41,HondaInsightExpearl4.5grd2019,Honda,Insight,2019,Automatic,Sedan,Octane,1500,24899,2230489,N,2024
42,ToyotaAxiox-hybrid4grdsilver2019,Toyota,Axio,2019,Automatic,Hatchback,Hybrid,1500,58412,2990841,N,2026
43,ToyotaAxiox-hybrid4grdsilver2019,Toyota,Axio,2019,Automatic,Hatchback,Octane,1500,58412,2990841,N,2026
44,HondaGraceDXPEARLhbrd2019,Honda,Grace,2003,Automatic,Sedan,Octane,1500,26900,201980690,N,2024
45,ToyotaProboxGL.2003,Toyota,Probox,2016,Automatic,Sedan,Octane,1500,258004,2850580,N,2025
46,ToyotaAxioWXBNON-HYBRID2016,Toyota,Axio,2010,Automatic,Hatchback,CNG,1500,43560,20250356,N,2025
47,ToyotaAxioWXBNON-HYBRID2016,Toyota,Axio,2010,Automatic,Hatchback,Octane,1500,43560,20250356,N,2025
48,ToyotaPremiokeystart2010,Toyota,Premio,2015,Automatic,Sedan,CNG,1500,485001,2365850,N,2025
49,ToyotaPremiokeystart2010,Toyota,Premio,2015,Automatic,Sedan,Octane,1500,485001,2365850,N,2025
50,ToyotaAxioGPushStart2015,Toyota,Axio,2011,Automatic,Hatchback,CNG,1500,70250,2015400025,N,2025
51,ToyotaAxioGPushStart2015,Toyota,Axio,2011,Automatic,Hatchback,Octane,1500,70250,2015400025,N,2025
52,NissanX-Trail2011,Nisan,Xtrail,2020,Automatic,SUV,Octane,1500,25400,2700540,N,2026
53,ToyotaHarrierSNONHYBRID2020,Toyota,Harrier,2017,Automatic,SUV,Octane,1500,65000,2000500,Y,2023
54,ToyotaFielderXOctneDrive2017,Toyota,Fielder,2019,Automatic,Saloon,CNG,1500,126800,300268,N,2024
55,ToyotaFielderXOctneDrive2017,Toyota,Fielder,2019,Automatic,Saloon,Octane,1500,126800,300268,N,2024
56,HondaInsightExpearl4.5grd2019,Honda,Insight,2019,Automatic,Sedan,CNG,1500,90000,2300000,N,2024
57,HondaInsightExpearl4.5grd2019,Honda,Insight,2019,Automatic,Sedan,Octane,1500,90000,2300000,N,2024
58,ToyotaAxiox-hybrid4grdsilver2019,Toyota,Axio,2019,Automatic,Hatchback,CNG,1500,68203,2300820,N,2025
59,ToyotaAxiox-hybrid4grdsilver2019,Toyota,Axio,2019,Automatic,Hatchback,Octane,1500,68203,2300820,N,2025
60,HondaGraceDXPEARLhbrd2019,Honda,Grace,2019,Automatic,Sedan,Octane,1500,41650,201000165,N,2023
61,ToyotaAllionPearlColour-LPG-2011,Toyota,Allion,2011,Automatic,"
Saloon",CNG,1500,60000,2120000,N,2025
62,ToyotaAllionPearlColour-LPG-2011,Toyota,Allion,2011,Automatic,"
Saloon",Octane,1500,60000,2120000,N,2025
63,ToyotaAxioBeigeinterior2013,Toyota,Axio,2013,Automatic,"
Saloon",CNG,1500,68000,168000,N,2024
64,ToyotaAxioBeigeinterior2013,Toyota,Axio,2013,Automatic,"
Saloon",Octane,1500,68000,168000,N,2024
65,ToyotaAxioGEdition2017,Toyota,Axio,2017,Automatic,"
Saloon",CNG,1500,49000,2250000,N,2025
66,ToyotaAxioGEdition2017,Toyota,Axio,2017,Automatic,"
Saloon",Octane,1500,49000,2250000,N,2025
67,ToyotaAxioXHybridReady2019,Toyota,Axio,2019,Automatic,"
Saloon",CNG,1500,78450,2050000,N,2024
68,ToyotaAxioXHybridReady2019,Toyota,Axio,2019,Automatic,"
Saloon",Octane,1500,78450,2050000,N,2024
69,ToyotaAxio,Toyota,Axio,2017,Automatic,"
Saloon",CNG,1500,50000,2000000,N,2025
70,ToyotaAxio,Toyota,Axio,2017,Automatic,"
Saloon",Octane,1500,50000,2000000,N,2025
71,ToyotaAxioXNonHybrid2020,Toyota,Axio,2020,Automatic,"
Saloon",CNG,1500,58450,2050000,N,2024
72,ToyotaAxioXNonHybrid2020,Toyota,Axio,2020,Automatic,"
Saloon",Octane,1500,58450,2050000,N,2024
73,ToyotaC-HRGLED(P-4.5)2019,Toyota,CHR,2019,Automatic,SUV,CNG,1800,68773,3380000,N,2025
74,ToyotaC-HRGLED(P-4.5)2019,Toyota,CHR,2019,Automatic,SUV,Octane,1800,68773,3380000,N,2025
75,ToyotaC-HRGMODENERO2019,Toyota,CHR,2019,Automatic,SUV,CNG,1800,54000,3200000,N,2025
76,ToyotaC-HRGMODENERO2019,Toyota,CHR,2019,Automatic,SUV,Octane,1800,54000,3200000,N,2025
77,ToyotaCorollaCrossZLEATHER2024,Toyota,Corolla,2024,Automatic,SUV,Hybrid,1800,90,5370000,Y,2024
78,ToyotaFielderWxBTRDSportivo2015,Toyota,Fielder,2015,Automatic,Hatchback,Hybrid,1500,65000,2200000,N,2023
79,ToyotaFielderXGAddtioOctane2005,Toyota,Fielder,2005,Automatic,Hatchback,Octane,1500,63000,1380000,N,2023
80,ToyotaHiaceGLDualAc2020,Toyota,Hiace,2020,Automatic,MPV,Octane,2000,69000,3040000,N,2023
81,ToyotaHiaceSuperGL4Point2019,Toyota,Hiace,2019,Automatic,MPV,Octane,2000,65000,4000000,N,2025
82,ToyotaHiaceSuperGLPearl2021,Toyota,Hiace,2021,Automatic,MPV,Octane,2000,61000,4200000,N,2024
83,ToyotaNoahGHYBRID2019,Toyota,Noah,2019,Automatic,MPV,Hybrid,2000,114064,3650000,N,2023
84,ToyotaNoahX2004,Toyota,Noah,2004,Automatic,MPV,CNG,2000,94000,1420000,N,2023
85,ToyotaNoahX2004,Toyota,Noah,2004,Automatic,MPV,Octane,2000,94000,1420000,N,2023
86,ToyotaPremio2016,Toyota,Premio,2016,Automatic,Saloon,Octane,1500,63000,3450000,N,2024
87,ToyotaPriusSAFETYSENSESPKG2020,Toyota,Prius,2020,Automatic,Saloon,Hybrid,1800,80000,2850000,N,2023
88,ToyotaPriusSAFETYSENSESPKG2020,Toyota,Prius,2020,Automatic,Saloon,Octane,1800,80000,2850000,N,2023
89,ToyotaHiaceJapanGL-DualAC(Loan)2016,Toyota,Hiace,2016,Automatic,Hatchback,CNG,2000,150000,2000000,N,2025
90,ToyotaHiaceJapanGL-DualAC(Loan)2016,Toyota,Hiace,2016,Automatic,Hatchback,Octane,2000,150000,2000000,N,2025
91,ToyotaAlphardE-FOUR2019,Toyota,Alphard,2019,Automatic,MPV,Hybrid,2500,18735,10800000,N,2024
92,ToyotaAlphardE-FOUR2019,Toyota,Alphard,2019,Automatic,MPV,Octane,2500,18735,10800000,N,2024
93,ToyotaAxioX-HYBRIDSILVER4.52019,Toyota,Axio,2019,Automatic,Saloon,Hybrid,1500,53011,2400000,Y,2024
94,ToyotaAxioX-HYBRIDSILVER4.52019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,53011,2400000,Y,2024
95,ToyotaAxioX(P-4)2019,Toyota,Axio,2019,Automatic,Saloon,Hybrid,1500,81200,2150000,Y,2023
96,ToyotaAxioX(P-4)2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,81200,2150000,Y,2023
97,ToyotaAqua20182013,Toyota,Aqua,2013,Automatic,Hatchback,Hybrid,1500,123000,1180000,Y,2024
98,ToyotaAqua20182013,Toyota,Aqua,2013,Automatic,Hatchback,Octane,1500,123000,1180000,Y,2024
99,ToyotaFielderWxbMicaBlue2019,Toyota,Fielder,2019,Automatic,Wagon,Hybrid,1500,79500,2680000,N,2022
100,ToyotaFielderWxbMicaBlue2019,Toyota,Fielder,2019,Automatic,Wagon,Octane,1500,79500,2680000,N,2022
101,ToyotaAqua2018,Toyota,Aqua,2018,Automatic,Hatchback,Hybrid,1500,123000,1180000,N,2024
102,ToyotaAqua2018,Toyota,Aqua,2018,Automatic,Hatchback,Octane,1500,123000,1180000,N,2024
103,ToyotaRAV4WithSunroof1999,Toyota,RAV,1999,Automatic,Hatchback,CNG,1800,87654,890000,N,2024
104,ToyotaRAV4WithSunroof1999,Toyota,RAV,1999,Automatic,Hatchback,Octane,1800,87654,890000,N,2024
105,HondaHR-V2015,Honda,HR,2015,Automatic,Hatchback,Octane,1500,52000,2250000,N,2025
106,ToyotaHiaceGL2019,Toyota,Hiace,2019,Automatic,MPV,CNG,2000,54862,2800000,N,2025
107,ToyotaHiaceGL2019,Toyota,Hiace,2019,Automatic,MPV,Octane,2000,54862,2800000,N,2025
108,ToyotaAxioX(P-4)2019,Toyota,Axio,2019,Automatic,"
Saloon",CNG,1500,81200,2150000,N,2025
109,ToyotaAxioX(P-4)2019,Toyota,Axio,2019,Automatic,"
Saloon",Octane,1500,81200,2150000,N,2025
110,ToyotaYarisGPackage2014,Toyota,Yaris,2019,Automatic,"
Saloon",Octane,1500,47309,1650000,N,2023
111,NissanX-TrailMODEPREMIER2019,Nisan,Xtrail,2019,Automatic,SUV,Octane,2000,81021,3750000,N,2025
112,ToyotaAquaS2019,Toyota,Aqua,2019,Automatic,Hatchback,CNG,1500,62500,1760000,N,2025
113,ToyotaAquaS2019,Toyota,Aqua,2019,Automatic,Hatchback,Octane,1500,62500,1760000,N,2025
114,ToyotaNoahGHYBRID2019,Toyota,Noah,2019,Automatic,MPV,Hybrid,1800,91041,3300000,N,2026
115,ToyotaNoahGHYBRID2019,Toyota,Noah,2019,Automatic,MPV,Octane,1800,91041,3300000,N,2026
116,Toyotaist2003,Toyota,ist,2003,Automatic,Hatchback,CNG,1300,62200,790000,N,2025
117,Toyotaist2003,Toyota,ist,2003,Automatic,Hatchback,Octane,1300,62200,790000,N,2025
118,ToyotaVoxyV(2DP)BLACKHbrd2019,Toyota,Voxy,2019,Automatic,MPV,Hybrid,1800,62759,3170000,N,2025
119,ToyotaVoxyV(2DP)BLACKHbrd2019,Toyota,Voxy,2019,Automatic,MPV,Octane,1800,62759,3170000,N,2025
120,ToyotaNoahSI-WINE66K4GRD2019,Toyota,Noah,2019,Automatic,MPV,Hybrid,1800,66057,3520000,N,2024
121,ToyotaNoahSI-WINE66K4GRD2019,Toyota,Noah,2019,Automatic,MPV,Octane,1800,66057,3520000,N,2024
122,ToyotaAllionA152005,Toyota,Allion,2005,Automatic,Saloon,CNG,1500,319994,1350000,N,2025
123,ToyotaAllionA152005,Toyota,Allion,2005,Automatic,Saloon,Octane,1500,319994,1350000,N,2025
124,ToyotaLiteAce2016,Toyota,LiteAce,2016,Automatic,MPV,CNG,1500,60488,2000000,N,2024
125,ToyotaLiteAce2016,Toyota,LiteAce,2016,Automatic,MPV,Octane,1500,60488,2000000,N,2024
126,ToyotaCorolla110L-SELECTION1999,Toyota,Corolla,1999,Automatic,Saloon,CNG,1500,89500,710000,N,2025
127,ToyotaCorolla110L-SELECTION1999,Toyota,Corolla,1999,Automatic,Saloon,Octane,1500,89500,710000,N,2025
128,ToyotaPremio.1998,Toyota,Premio,1998,Manual,Saloon,Octane,1500,100000,550000,N,2024
129,ToyotaAxioWxBHybridBodyKit2020,Toyota,Axio,2020,Automatic,Saloon,CNG,1500,48000,3340000,N,2024
130,ToyotaAxioWxBHybridBodyKit2020,Toyota,Axio,2020,Automatic,Saloon,Octane,1500,48000,3340000,N,2024
131,ToyotaFielderHybridEx(Push)2020,Toyota,Fielder,2020,Automatic,Hatchback,CNG,1500,26980,2640000,N,2024
132,ToyotaFielderHybridEx(Push)2020,Toyota,Fielder,2020,Automatic,Hatchback,Octane,1500,26980,2640000,N,2024
133,ToyotaAxioXNonHybrid5POINT2019,Toyota,Xx,2019,Automatic,Saloon,CNG,1500,25000,2680000,Y,2024
134,ToyotaAxioXNonHybrid5POINT2019,Toyota,Xx,2019,Automatic,Saloon,Octane,1500,25000,2680000,Y,2024
135,NissanX-Trail20xiEMERGENCYBRAKE2020,Nissan,Xtrail,2020,Automatic,SUV,CNG,2000,3650,4650000,N,2025
136,NissanX-Trail20xiEMERGENCYBRAKE2020,Nissan,Xtrail,2020,Automatic,SUV,Octane,2000,3650,4650000,N,2025
137,ToyotaPriusS2018,Toyota,Prius,2018,Automatic,Saloon,CNG,1800,15690,3170000,N,2024
138,ToyotaPriusS2018,Toyota,Prius,2018,Automatic,Saloon,Octane,1800,15690,3170000,N,2024
139,ToyotaAxioGHybridBronze2019,Toyota,Axio,2019,Automatic,Saloon,CNG,1500,1522,2840000,N,2024
140,ToyotaAxioGHybridBronze2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,1522,2840000,N,2024
141,ToyotaAxioGNonHVBeige(Int)2019,Toyota,Axio,2019,Automatic,Saloon,CNG,1500,16980,3050000,N,2024
142,ToyotaAxioGNonHVBeige(Int)2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,16980,3050000,N,2024
143,NissanX-Trail20XiLeatherEdition2020,Nissan,Xtrail,2020,Automatic,SUV,CNG,2000,14693,4650000,N,2025
144,NissanX-Trail20XiLeatherEdition2020,Nissan,Xtrail,2020,Automatic,SUV,Octane,2000,14693,4650000,N,2025
145,ToyotaHarrierZLEATHERMATALIC2021,Toyota,Harrier,2021,Automatic,SUV,CNG,2500,22063,8100000,N,2025
146,ToyotaHarrierZLEATHERMATALIC2021,Toyota,Harrier,2021,Automatic,SUV,Octane,2500,22063,8100000,N,2025
147,ToyotaAxioNon-hybrid2014,Toyota,Axio,2014,Automatic,Saloon,CNG,1500,62500,1700000,N,2024
148,ToyotaAxioNon-hybrid2014,Toyota,Axio,2014,Automatic,Saloon,Octane,1500,62500,1700000,N,2024
149,ToyotaNoahSiWxbHybrid2019,Toyota,Noah,2019,Automatic,MPV,CNG,1800,45000,3450000,N,2024
150,ToyotaNoahSiWxbHybrid2019,Toyota,Noah,2019,Automatic,MPV,Octane,1800,45000,3450000,N,2024
151,ToyotaVitzFSEFTYLEDPUSH2017,Toyota,Vitz,2017,Automatic,Hatchback,CNG,1500,87000,1750000,N,2024
152,ToyotaVitzFSEFTYLEDPUSH2017,Toyota,Vitz,2017,Automatic,Hatchback,Octane,1500,87000,1750000,N,2024
153,ToyotaAxioGHybrid2013,Toyota,Axio,2013,Automatic,Saloon,CNG,1500,70000,1580000,N,2025
154,ToyotaAxioGHybrid2013,Toyota,Axio,2013,Automatic,Saloon,Octane,1500,70000,1580000,N,2025
155,ToyotaAxioG2009,Toyota,Axio,2009,Automatic,Saloon,CNG,1500,77000,1530000,N,2025
156,ToyotaAxioG2009,Toyota,Axio,2009,Automatic,Saloon,Octane,1500,77000,1530000,N,2025
157,HavalH6-2021,Haval,H6,2021,Automatic,SUV,CNG,2000,15240,4370000,N,2024
158,HavalH6-2021,Haval,H6,2021,Automatic,SUV,Octane,2000,15240,4370000,N,2024
159,ToyotaPremioF-EXPackageOctane-2017,Toyota,Premio,2017,Automatic,Sedan,CNG,1800,42559,3290000,N,2025
160,ToyotaPremioF-EXPackageOctane-2017,Toyota,Premio,2017,Automatic,Sedan,Octane,1800,42559,3290000,N,2025
161,ToyotaMarkII35thAnniversary2004,Toyota,Mark-II,2004,Automatic,Sedan,CNG,1500,55224,1490000,N,2025
162,ToyotaMarkII35thAnniversary2004,Toyota,Mark-II,2004,Automatic,Sedan,Octane,1500,55224,1490000,N,2025
163,ToyotaAllionG2010,Toyota,Allion,2010,Automatic,Sedan,CNG,1500,96000,2195000,N,2024
164,ToyotaAllionG2010,Toyota,Allion,2010,Automatic,Sedan,Octane,1500,96000,2195000,N,2024
165,ToyotaHiace2016,Toyota,Hiace,2016,Automatic,MPV,CNG,2000,70000,2750000,N,2024
166,ToyotaHiace2016,Toyota,Hiace,2016,Automatic,MPV,Octane,2000,70000,2750000,N,2024
167,ToyotaNoahPUSHNONHYBRID2019,Toyota,Noah,2019,Automatic,MPV,Petrol,2000,65000,3600000,N,2024
168,ToyotaNoahPUSHNONHYBRID2019,Toyota,Noah,2019,Automatic,MPV,Octane,2000,65000,3600000,N,2024
169,ToyotaC-HRGLEDPearlBODYKIT2019,Toyota,CHR,2019,Automatic,SUV,CNG,1500,70000,3375000,N,2024
170,ToyotaC-HRGLEDPearlBODYKIT2019,Toyota,CHR,2019,Automatic,SUV,Octane,1500,70000,3375000,N,2024
171,ToyotaC-HRG-LEDMODELSTBDYKiT2019,Toyota,CHR,2019,Automatic,SUV,CNG,1800,56900,3375000,N,2024
172,ToyotaC-HRG-LEDMODELSTBDYKiT2019,Toyota,CHR,2019,Automatic,SUV,Octane,1800,56900,3375000,N,2024
173,ToyotaC-HRGLED2019,Toyota,CHR,2019,Automatic,SUV,Hybrid,1500,45362,3450000,N,2024
174,ToyotaC-HRGLED2019,Toyota,CHR,2019,Automatic,SUV,Octane,1500,45362,3450000,N,2024
175,ToyotaFielderGPUSHHybrid4GRADE2019,Toyota,Xg,2019,Automatic,Estate,CNG,2000,45000,2250000,N,2024
176,ToyotaFielderGPUSHHybrid4GRADE2019,Toyota,Xg,2019,Automatic,Estate,Octane,2000,45000,2250000,N,2024
177,ToyotaNoahPUSH2DOORPWR2019,Toyota,Xpush,2019,Automatic,MPV,Hybrid,1500,70879,3150000,N,2024
178,ToyotaNoahPUSH2DOORPWR2019,Toyota,Xpush,2019,Automatic,MPV,Octane,1500,70879,3150000,N,2024
179,ToyotaFielderGHybrid2019,Toyota,Fielder,2019,Automatic,Estate,Octane,1500,47000,2300000,N,2024
180,ToyotaAxioXWHITEKEYSTARTHV2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,46900,2140000,N,2024
181,ToyotaAxioXWHITEKEYSTHYB2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,20560,2150000,N,2024
182,ToyotaAxioXNONHYBRID2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,7800,2600000,N,2024
183,ToyotaAxioXNONHYBRID2019,Toyota,Axio,2019,Automatic,Saloon,Octane,1500,65890,2500000,N,2024
184,ToyotaHiaceGL2019,Toyota,Hiace,2019,Automatic,MPV,Petrol,2000,78547,3320000,N,2024
